Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,DailyCases,CumulativeCases,Deaths
2020-10-28,S92000003,Scotland,1265,62705,1147.1825832418588,156.7142334431028,29,2947,53.915111598975486,4822,763933,13976.088547383828,23407,1458,6.228905882855556,7.618628898030964,7050,16357,131.0,,2.0,,347,1111,1265,62705,2947
2020-10-29,S92000003,Scotland,1096,63801,1167.2338090010976,149.48774240761068,29,2976,54.445664105378704,4518,768451,14058.744968898643,19969,1271,6.364865541589464,7.366864139332916,6949,13020,103.0,,7.0,,276,995,1096,63801,2976
2020-10-30,S92000003,Scotland,1089,64890,1187.1569703622392,145.993413830955,35,3011,55.085986095865344,4243,772694,14136.37028905964,16070,1252,7.790914747977598,7.299223469884517,6474,9596,132.0,,10.0,,276,976,1089,64890,3011
2020-10-31,S92000003,Scotland,741,65631,1200.7135016465422,142.20636663007684,24,3035,55.52506403219905,2760,775454,14186.864251738016,8474,857,10.113287703563842,7.18465723349127,3877,4597,105.0,,5.0,,224,633,741,65631,3035
2020-11-01,S92000003,Scotland,969,66600,1218.441273326015,142.79180387852176,35,3070,56.165386022685695,3146,778600,14244.42005122576,8813,1126,12.77658005219562,7.245204903451176,3521,5292,105.0,,11.0,,249,877,969,66600,3070
2020-11-02,S92000003,Scotland,1474,68074,1245.4079765825102,145.1701427003293,29,3099,56.69593852908891,6285,784885,14359.403585803146,22717,1673,7.364528767002685,7.334239589449893,8075,14642,113.0,,8.0,,362,1311,1474,68074,3099
2020-11-03,S92000003,Scotland,1388,69462,1270.801317233809,146.76180021953897,35,3134,57.33626051957556,5911,790796,14467.544822539332,26746,1614,6.034547222014506,7.3306602427969185,8631,18115,118.0,,13.0,,419,1195,1388,69462,3134
2020-11-04,S92000003,Scotland,1300,70762,1294.5847054518845,147.40212221002562,19,3153,57.683863885839735,5508,796304,14568.31320892792,25003,1494,5.975282966044074,7.267278076874922,7741,17262,125.0,,5.0,,311,1183,1300,70762,3153
2020-11-05,S92000003,Scotland,1290,72052,1318.1851445298207,150.951335528723,41,3194,58.43395536040981,5373,801677,14666.611781924625,22018,1521,6.907984376419293,7.345137514344467,7500,14518,101.0,,6.0,,366,1155,1290,72052,3194
2020-11-06,S92000003,Scotland,1131,73183,1338.8766922795462,151.719721917307,27,3221,58.927918038785215,5079,806756,14759.531650201245,18124,1334,7.3604060913705585,7.292922400394253,7143,10981,99.0,,7.0,,294,1040,1131,73183,3221
